original_relative	target_file	pattern	colors	buckets
44인치/기타/IMG_7980.HEIC	IMG_7980_그레이-아이보리_도비.HEIC	도비	그레이,아이보리	그레이:0.591,아이보리:0.382,차콜:0.026,레드:0.001,베이지:0.001
44인치/기타/IMG_7981.HEIC	IMG_7981_그레이-아이보리_도비.HEIC	도비	그레이,아이보리	그레이:0.790,아이보리:0.186,레드:0.023,핑크:0.000,버건디:0.000
44인치/기타/IMG_7982.HEIC	IMG_7982_그레이-아이보리_도비.HEIC	도비	그레이,아이보리	그레이:0.671,아이보리:0.258,레드:0.037,버건디:0.033
44인치/기타/IMG_7983.HEIC	IMG_7983_그레이-아이보리_도비.HEIC	도비	그레이,아이보리	그레이:0.664,아이보리:0.305,차콜:0.031
44인치/기타/IMG_7984.HEIC	IMG_7984_그레이-아이보리_도비.HEIC	도비	그레이,아이보리	그레이:0.634,아이보리:0.278,레드:0.036,오렌지:0.031,브라운:0.021
44인치/스프트라이프/IMG_7937.HEIC	IMG_7937_블루_스트라이프.HEIC	스트라이프	블루	블루:0.735,네이비:0.229,아이보리:0.020,그레이:0.013,오프화이트:0.002
44인치/스프트라이프/IMG_7938.HEIC	IMG_7938_그레이-블루_스트라이프.HEIC	스트라이프	그레이,블루	그레이:0.303,차콜:0.246,블루:0.200,아이보리:0.135,네이비:0.108
44인치/스프트라이프/IMG_7939.HEIC	IMG_7939_그레이-블루_스트라이프.HEIC	스트라이프	그레이,블루	블루:0.876,그레이:0.082,아이보리:0.042
44인치/스프트라이프/IMG_7940.HEIC	IMG_7940_레드_스트라이프.HEIC	스트라이프	레드	레드:0.718,핑크:0.268,그레이:0.013,아이보리:0.000
44인치/스프트라이프/IMG_7941.HEIC	IMG_7941_레드_스트라이프.HEIC	스트라이프	레드	레드:0.710,버건디:0.283,핑크:0.007
44인치/스프트라이프/IMG_7942.HEIC	IMG_7942_그레이-차콜_스트라이프.HEIC	스트라이프	그레이,차콜	그레이:0.384,차콜:0.341,아이보리:0.260,베이지:0.008,블루:0.004
44인치/스프트라이프/IMG_7943.HEIC	IMG_7943_베이지-브라운_스트라이프.HEIC	스트라이프	베이지,브라운	브라운:0.324,베이지:0.191,그레이:0.151,오렌지:0.147,레드:0.067
44인치/스프트라이프/IMG_7944.HEIC	IMG_7944_그레이-차콜_스트라이프.HEIC	스트라이프	그레이,차콜	그레이:0.398,차콜:0.359,아이보리:0.209,베이지:0.023,블루:0.004
44인치/스프트라이프/IMG_7945.HEIC	IMG_7945_블루_스트라이프.HEIC	스트라이프	블루	블루:0.986,네이비:0.013,아이보리:0.001,그레이:0.000,스카이블루:0.000
44인치/스프트라이프/IMG_7946.HEIC	IMG_7946_블루_스트라이프.HEIC	스트라이프	블루	블루:0.570,네이비:0.335,오프화이트:0.049,아이보리:0.024,그레이:0.014
44인치/스프트라이프/IMG_7947.HEIC	IMG_7947_블루_스트라이프.HEIC	스트라이프	블루	블루:0.549,네이비:0.330,오프화이트:0.032,아이보리:0.032,그레이:0.024
44인치/스프트라이프/IMG_7948.HEIC	IMG_7948_그레이-레드_스트라이프.HEIC	스트라이프	그레이,레드	그레이:0.253,레드:0.241,아이보리:0.207,핑크:0.095,블루:0.066
44인치/스프트라이프/IMG_7949.HEIC	IMG_7949_그레이-네이비_스트라이프.HEIC	스트라이프	그레이,네이비	네이비:0.299,그레이:0.215,블루:0.213,아이보리:0.088,차콜:0.077
44인치/스프트라이프/IMG_7950.HEIC	IMG_7950_차콜-블루_스트라이프.HEIC	스트라이프	차콜,블루	차콜:0.234,그레이:0.203,블랙:0.114,아이보리:0.108,블루:0.099
44인치/스프트라이프/IMG_7951.HEIC	IMG_7951_레드_스트라이프.HEIC	스트라이프	레드	레드:0.472,버건디:0.382,핑크:0.116,블루:0.023,오렌지:0.003
44인치/스프트라이프/IMG_7953.HEIC	IMG_7953_베이지-레드_스트라이프.HEIC	스트라이프	베이지,레드	레드:0.433,버건디:0.388,베이지:0.090,오프화이트:0.072,오렌지:0.009
44인치/스프트라이프/IMG_7954.HEIC	IMG_7954_오프화이트-버건디_스트라이프.HEIC	스트라이프	오프화이트,버건디	오프화이트:0.237,버건디:0.201,그레이:0.122,아이보리:0.113,네이비:0.097
44인치/스프트라이프/IMG_7955.HEIC	IMG_7955_오프화이트-네이비_스트라이프.HEIC	스트라이프	오프화이트,네이비	오프화이트:0.319,네이비:0.305,그레이:0.124,블루:0.115,차콜:0.091
44인치/스프트라이프/IMG_7956.HEIC	IMG_7956_오프화이트-블루_스트라이프.HEIC	스트라이프	오프화이트,블루	오프화이트:0.293,그레이:0.141,블루:0.115,스카이블루:0.113,네이비:0.111
44인치/스프트라이프/IMG_7962.HEIC	IMG_7962_아이보리-스카이블루_스트라이프.HEIC	스트라이프	아이보리,스카이블루	아이보리:0.443,스카이블루:0.231,그레이:0.153,오프화이트:0.097,차콜:0.042
44인치/스프트라이프/IMG_7963.HEIC	IMG_7963_차콜-레드_스트라이프.HEIC	스트라이프	차콜,레드	레드:0.274,차콜:0.209,그레이:0.140,오프화이트:0.128,아이보리:0.098
